epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
104,0.83704025,0.13395269,0.8417945,0.15379699,0.20447548,0.13861197,1050.0,-0.620365,1.0,5250.0,0.54
105,0.8371281,0.13377349,0.84192276,0.15356395,0.20441902,0.13851857,1060.0,-1.0413249,1.0,5300.0,0.54
106,0.8373208,0.13357864,0.8421452,0.15328196,0.2044151,0.13838838,1070.0,-0.94064367,1.0,5350.0,0.42
107,0.83748096,0.13332121,0.8423675,0.15297769,0.20454305,0.13821316,1080.0,-1.253891,1.0,5400.0,0.5
108,0.8376445,0.1330609,0.8425787,0.15267278,0.20460922,0.138016,1090.0,-1.1417735,1.0,5450.0,0.48
109,0.83771825,0.13297115,0.8426413,0.1525164,0.20461777,0.13800293,1100.0,-0.83354014,1.0,5500.0,0.5
110,0.8378837,0.13271062,0.84284085,0.15221497,0.2047224,0.13779746,1110.0,-0.962698,1.0,5550.0,0.5
111,0.838073,0.1326133,0.8430609,0.15207808,0.20479429,0.13774502,1120.0,-0.8530749,1.0,5600.0,0.36
112,0.83814317,0.13238099,0.84313005,0.15178804,0.20484182,0.13755354,1130.0,-1.5915959,1.0,5650.0,0.5
113,0.8382395,0.13216694,0.84323406,0.15153162,0.20488028,0.13743706,1140.0,-1.1170747,1.0,5700.0,0.5
114,0.83839494,0.13194832,0.8433946,0.1512553,0.20488697,0.13723934,1150.0,-1.5310864,0.9,5750.0,0.4
115,0.83840585,0.13173534,0.8434386,0.15098669,0.20490156,0.13717104,1160.0,-1.1747868,1.0,5800.0,0.56
116,0.8384943,0.13167252,0.8435193,0.15088035,0.20484005,0.13711888,1170.0,-0.97087765,1.0,5850.0,0.56
117,0.838561,0.1315043,0.8435896,0.1506871,0.20485564,0.13699755,1180.0,-1.029131,1.0,5900.0,0.46
118,0.83859676,0.1313438,0.84368104,0.15047948,0.20491163,0.13689601,1190.0,-0.6678055,1.0,5950.0,0.44
119,0.8386527,0.13114536,0.84374326,0.1502471,0.20497149,0.13681342,1200.0,-1.0297215,0.9,6000.0,0.44
120,0.83871,0.13095757,0.8437802,0.15005668,0.20500927,0.13669156,1210.0,-0.7914946,1.0,6050.0,0.4
121,0.83875936,0.1308621,0.84385115,0.14992571,0.20508546,0.1366741,1220.0,-0.8350128,1.0,6100.0,0.44
122,0.83882445,0.13086739,0.8439358,0.14990638,0.20515572,0.13665347,1230.0,-1.4003298,1.0,6150.0,0.5
123,0.83891124,0.13074493,0.8440668,0.14970504,0.20518473,0.13662861,1240.0,-1.3309188,0.9,6200.0,0.48
124,0.83887666,0.13080525,0.8440438,0.14969419,0.20513743,0.13666393,1250.0,-0.9114998,1.0,6250.0,0.48
125,0.8389731,0.13066699,0.84411055,0.1494933,0.20514631,0.13658291,1260.0,-1.3542724,1.0,6300.0,0.44
126,0.83897305,0.13064542,0.84412295,0.14944158,0.2051155,0.1365564,1270.0,-0.80682105,1.0,6350.0,0.46
127,0.83897376,0.13051121,0.84410644,0.14924777,0.20509885,0.13650936,1280.0,-0.88305676,1.0,6400.0,0.5
128,0.83910006,0.13025275,0.84424657,0.1489542,0.20513846,0.13627678,1290.0,-1.1278627,1.0,6450.0,0.52
129,0.8391278,0.13008879,0.84425753,0.14870675,0.2051446,0.13621956,1300.0,-0.80675733,1.0,6500.0,0.5
130,0.8392348,0.12990385,0.84436435,0.14849001,0.20515774,0.13606642,1310.0,-0.9426244,1.0,6550.0,0.54
131,0.8393163,0.12995847,0.8444388,0.14853151,0.20523101,0.13609119,1320.0,-1.082713,1.0,6600.0,0.36
132,0.83925986,0.12993814,0.844352,0.14845952,0.20521961,0.13602301,1330.0,-0.9949139,1.0,6650.0,0.52
133,0.8391948,0.12990583,0.84430027,0.14838041,0.20521207,0.13599122,1340.0,-0.71701825,1.0,6700.0,0.5
134,0.83919555,0.12960947,0.8443125,0.1480255,0.20522705,0.13581389,1350.0,-1.2796204,1.0,6750.0,0.62
135,0.83927757,0.12950681,0.8444455,0.14790563,0.20529032,0.13585268,1360.0,-0.55218023,1.0,6800.0,0.58
136,0.83935505,0.12929969,0.8445018,0.14766873,0.20532492,0.13582136,1370.0,-0.99472886,1.0,6850.0,0.46
